time,body,x,y,z,vx,vy,vz,energy_error,angular_momentum_error
533000,Body2,-1497879.57915631,6117293.899539727,0,-16.57369597310417,-0.591359332153742,0,2.609340734142719e-10,5.22540179537109e-15
533000,Body3,-1097028.968213799,-6441090.675765816,0,60.71357771383975,-45.73190015683449,0,2.609340734142719e-10,5.22540179537109e-15
534000,Body1,1391306.196792961,-5971814.329098749,0,15.69603748844856,1.088589928934165,0,2.553266452023182e-10,6.314027169406733e-15
534000,Body2,-1514448.254869484,6116681.316432362,0,-16.56363871964582,-0.6337954429001676,0,2.553266452023182e-10,6.314027169406733e-15
534000,Body3,-1035794.192340333,-6486698.733379095,0,61.76012311971608,-45.47944860343847,0,2.553266452023182e-10,6.314027169406733e-15
535000,Body1,1406991.827039351,-5970705.934665554,0,15.67516444427706,1.128136216755526,0,2.482249873220436e-10,5.878577019792476e-15
535000,Body2,-1531006.823205978,6116026.331541141,0,-16.55348128728254,-0.6761628851882681,0,2.482249873220436e-10,5.878577019792476e-15
535000,Body3,-973500.3833299079,-6532039.687576549,0,62.83168430054054,-45.19733315676436,0,2.482249873220436e-10,5.878577019792476e-15
536000,Body1,1422656.408374962,-5969558.185876594,0,15.65393947705678,1.167294782420168,0,2.39418069958396e-10,6.531752244213862e-15
536000,Body2,-1547555.184189384,6115329.013578285,0,-16.54322408092925,-0.7184615717742158,0,2.39418069958396e-10,6.531752244213862e-15
536000,Body3,-910122.4185503707,-6577082.770186574,0,63.92846038723972,-44.88332106463392,0,2.39418069958396e-10,6.531752244213862e-15
537000,Body1,1438299.588474988,-5968371.482275072,0,15.63236195687474,1.206041732780919,0,2.28658260694569e-10,6.314027169406733e-15
537000,Body2,-1564093.238247978,6114589.43134241,0,-16.53286750504911,-0.7606914170814854,0,2.28658260694569e-10,6.314027169406733e-15
537000,Body3,-845635.0226934219,-6621794.906751642,0,65.05055481743203,-44.53503156998215,0,2.28658260694569e-10,6.314027169406733e-15
538000,Body1,1453921.014936125,-5967146.248058614,0,15.61043238814118,1.244351644224183,0,2.1567683919505e-10,6.531752244213862e-15
538000,Body2,-1580620.886214293,6113807.653716931,0,-16.52241196369182,-0.8028523371243913,0,2.1567683919505e-10,6.531752244213862e-15
538000,Body3,-780012.8721758353,-6666140.565849209,0,66.19795755505609,-44.14993071001771,0,2.1567683919505e-10,6.531752244213862e-15
539000,Body1,1469520.336509238,-5965882.933631551,0,15.58815261020197,1.282197521060926,0,2.001686331505629e-10,5.007676720563961e-15
539000,Body2,-1597138.029324718,6112983.749668461,0,-16.5118578605333,-0.844944249425035,0,2.001686331505629e-10,5.007676720563961e-15
539000,Body3,-713230.7184445892,-6710081.603708008,0,67.37052503312724,-43.72532716362766,0,2.001686331505629e-10,5.007676720563961e-15
540000,Body1,1485097.204544722,-5964582.017192098,0,15.565526022439,1.319550768075905,0,1.818094911249964e-10,5.443126870178218e-15
540000,Body2,-1613644.569219149,6112117.788245396,0,-16.50120559891735,-0.8869670729230844,0,1.818094911249964e-10,5.443126870178218e-15
540000,Body3,-645263.5325499506,-6753577.105346464,0,68.56795764783031,-43.25836951532059,0,1.818094911249964e-10,5.443126870178218e-15
541000,Body1,1500651.274675882,-5963244.006338036,0,15.542557835366,1.356381181642557,0,1.602320314488912e-10,5.878577019792476e-15
541000,Body2,-1630140.407940679,6111209.838576507,0,-16.49045558189831,-0.9289207278778303,0,1.602320314488912e-10,5.878577019792476e-15
541000,Body3,-576086.6735128154,-6796583.223863672,0,69.78977465322383,-42.7460453765114,0,1.602320314488912e-10,5.878577019792476e-15
542000,Body1,1516182.208766874,-5961869.439669927,0,15.51925534887648,1.392656964617661,0,1.350394999945904e-10,5.878577019792476e-15
542000,Body2,-1646625.447935327,6110259.969869696,0,-16.47960821228497,-0.9708051357619318,0,1.350394999945904e-10,5.878577019792476e-15
542000,Body3,-505676.0831471442,-6839053.01999409,0,71.03528634084172,-42.18518288561153,0,1.350394999945904e-10,5.878577019792476e-15
543000,Body1,1531689.677152789,-5960458.888364997,0,15.49562825827211,1.42834477110787,0,1.058042638963315e-10,6.096302094599605e-15
543000,Body2,-1663099.59205182,6109268.251410841,0,-16.46866389268529,-1.01262021914628,0,1.058042638963315e-10,6.096302094599605e-15
543000,Body3,-434008.5100893056,-6880936.30460174,0,72.30356344130929,-41.57245519619759,0,1.058042638963315e-10,6.096302094599605e-15
544000,Body1,1547173.361199616,-5959012.957688474,0,15.47168898794886,1.463409788130126,0,7.207338478590487e-11,7.184927468635249e-15
544000,Body2,-1679562.743541407,6108234.752562751,0,-16.45762302555131,-1.054365901575433,0,7.207338478590487e-11,7.184927468635249e-15
544000,Body3,-361061.7658134993,-6922179.487445272,0,73.59340376023242,-40.90438865550772,0,7.207338478590487e-11,7.184927468635249e-15
545000,Body1,1562632.956211321,-5957532.288401471,0,15.44745305159373,1.49781586213657,0,3.335792420530947e-11,7.184927468635249e-15
545000,Body2,-1696014.806057731,6107159.542764243,0,-16.44648601322384,-1.096042107433116,0,3.335792420530947e-11,7.184927468635249e-15
545000,Body3,-286815.0153514725,-6962725.43629485,0,74.90329616299542,-40.17737547038384,0,3.335792420530947e-11,7.184927468635249e-15
546000,Body1,1578068.17470937,-5956017.558016323,0,15.42293943639609,1.53152567929251,0,-1.083934084294734e-11,7.620377618249506e-15
546000,Body2,-1712455.683656739,6106042.691529406,0,-16.43525325797633,-1.137648761797344,0,-1.083934084294734e-11,7.620377618249506e-15
546000,Body3,-211249.1052555952,-7002513.351325486,0,76.23138215800753,-39.38769174955507,0,-1.083934084294734e-11,7.620377618249506e-15
547000,Body1,1593478.75010683,-5954469.481840705,0,15.39817100705147,1.564501009211739,0,-6.103702253104587e-11,6.096302094599605e-15
547000,Body2,-1728885.280796638,6104884.268446955,0,-16.42392516205697,-1.179185790284824,0,-6.103702253104587e-11,6.096302094599605e-15
547000,Body3,-134346.9310118599,-7041478.660642179,0,77.57541550053256,-38.53152189272988,0,-6.103702253104587e-11,6.096302094599605e-15
548000,Body1,1608864.44079379,-5952888.813742022,0,15.37317492318626,1.596703022470632,0,-1.177425865598503e-10,5.007676720563961e-15
548000,Body2,-1745303.502337881,6103684.343179801,0,-16.41250212772827,-1.220653118884449,0,-1.177425865598503e-10,5.007676720563961e-15
548000,Body3,-56093.84558346387,-7079552.943795792,0,78.93272045419083,-37.60499035865679,0,-1.177425865598503e-10,5.007676720563961e-15
549000,Body1,1624225.034643308,-5951276.34655295,0,15.34798306122534,1.628092692514439,0,-1.814488877151214e-10,5.443126870178218e-15
549000,Body2,-1761710.253543212,6102442.985464756,0,-16.40098455730308,-1.262050673779827,0,-1.814488877151214e-10,5.443126870178218e-15
549000,Body3,23521.88999785119,-7116663.891198591,0,80.30014960775908,-36.6042018734998,0,-1.814488877151214e-10,5.443126870178218e-15
550000,Body1,1639560.353936569,-5949632.912028545,0,15.32263242865639,1.658631292378256,0,-2.526166970205883e-10,5.22540179537109e-15
550000,Body2,-1778105.440077723,6101160.265112412,0,-16.38937285317524,-1.303378381161065,0,-2.526166970205883e-10,5.22540179537109e-15
550000,Body3,104508.6141228208,-7152735.308405015,0,81.6740424518696,-35.52529112175753,0,-2.526166970205883e-10,5.22540179537109e-15
551000,Body1,1654870.260692179,-5947959.380255166,0,15.29716555513833,1.688280995781867,0,-3.316430698598894e-10,5.007676720563961e-15
551000,Body2,-1794488.968008952,6099836.252007267,0,-16.37766741784462,-1.344636167026279,0,-3.316430698598894e-10,5.007676720563961e-15
551000,Body3,186870.7316846015,-7187687.175228617,0,83.05018627061446,-34.36448287559752,0,-3.316430698598894e-10,5.007676720563961e-15
552000,Body1,1670154.662367074,-5946256.658402747,0,15.27163084104954,1.71700559040627,0,-4.188301659824857e-10,5.660851944985347e-15
552000,Body2,-1810860.743806995,6098471.016107991,0,-16.36586865393394,-1.385823956973655,0,-4.188301659824857e-10,5.660851944985347e-15
552000,Body3,270608.143999501,-7221435.770542933,0,84.42378128842053,-33.1181633433002,0,-4.188301659824857e-10,5.660851944985347e-15
553000,Body1,1685413.51787509,-5944525.688705524,0,15.24608284002564,1.744771308289397,0,-5.143599440012129e-10,5.443126870178218e-15
553000,Body2,-1827220.674344639,6097064.627447955,0,-16.35397696419588,-1.426941675985292,0,-5.143599440012129e-10,5.443126870178218e-15
553000,Body3,355715.6469622485,-7253893.87426137,0,85.78941241700399,-31.78296323044936,0,-5.143599440012129e-10,5.443126870178218e-15
554000,Body1,1700646.843843806,-5942767.445553254,0,15.22058244805295,1.771547774064455,0,-6.18243701015378e-10,5.007676720563961e-15
554000,Body2,-1843568.666897485,6095617.156135937,0,-16.34199275150934,-1.467989248204515,0,-6.18243701015378e-10,5.007676720563961e-15
554000,Body3,442182.3053754001,-7284971.0582862,0,87.14103034562255,-30.35585258603291,0,-6.18243701015378e-10,5.007676720563961e-15
555000,Body1,1715854.721000956,-5940982.931577126,0,15.19519696811977,1.797309066016942,0,-7.302830599611525e-10,6.314027169406733e-15
555000,Body2,-1859904.629144073,6094128.672357096,0,-16.32991641886201,-1.508966596708906,0,-7.302830599611525e-10,6.314027169406733e-15
555000,Body3,529990.8143191847,-7314574.078014989,0,88.47194507420166,-28.83424693084269,0,-7.302830599611525e-10,6.314027169406733e-15
556000,Body1,1731037.300549333,-5939173.172622973,0,15.17000001676172,1.82203487754677,0,-8.500410490373469e-10,5.22540179537109e-15
556000,Body2,-1876228.469165968,6092599.246374138,0,-16.31774836931752,-1.549873643281832,0,-8.500410490373469e-10,5.22540179537109e-15
556000,Body3,619116.8616707626,-7342607.375134361,0,89.77483525555644,-27.21612342653294,0,-8.500410490373469e-10,5.22540179537109e-15
557000,Body1,1746194.810354667,-5937339.211521382,0,15.14507123765447,1.845711757613288,0,-9.767728128296621e-10,5.660851944985347e-15
557000,Body2,-1892540.095447817,6091028.948528728,0,-16.30548900596598,-1.590710308185925,0,-9.767728128296621e-10,5.660851944985347e-15
557000,Body3,709528.5093222623,-7368973.70075202,0,91.0417768311318,-25.50014494277542,0,-9.767728128296621e-10,5.660851944985347e-15
558000,Body1,1761327.560736381,-5935482.100590645,0,15.1204957883806,1.868334398331623,0,-1.109411001395586e-09,5.878577019792476e-15
558000,Body2,-1908839.416877346,6089417.849243116,0,-16.29313873185487,-1.63147650994255,0,-1.109411001395586e-09,5.878577019792476e-15
558000,Body3,801185.6141036332,-7393574.865264829,0,92.2642943474081,-23.68578883894622,0,-1.109411001395586e-09,5.878577019792476e-15
559000,Body1,1776435.949618948,-5933602.89284602,0,15.09636357032269,1.889906926551408,0,-1.246529017034648e-09,6.096302094599605e-15
